,LONGITUDE,LATITUDE,MUN_NAME,WARD_NAME
134354,-79.4333171474,43.6720131015,former Toronto,Davenport
104976,-79.48102192,43.7145738798,North York,York South-Weston
243300,-79.4179883991,43.7298192752,North York,Eglinton-Lawrence
503472,-79.171713307,43.8070157658,Scarborough,Scarborough-Rouge Park
410009,-79.2604177464,43.7113190354,Scarborough,Scarborough Southwest
81704,-79.4570424051,43.6696417638,former Toronto,Davenport
10646,-79.5740556139,43.6418300118,Etobicoke,Etobicoke Centre
517904,-79.2220031359,43.8119717524,Scarborough,Scarborough-Rouge Park
71620,-79.4582526291,43.657486634,former Toronto,Parkdale-High Park
484539,-79.1412405493,43.7749283796,Scarborough,Scarborough-Rouge Park
236263,-79.4595861402,43.7607416463,North York,York Centre
417752,-79.2450815086,43.7236624428,Scarborough,Scarborough Southwest
169478,-79.4185907633,43.6878017585,former Toronto,Toronto-St. Paul's
347571,-79.2899272969,43.6788761905,former Toronto,Beaches-East York
196002,-79.6366319302,43.7498742549,Etobicoke,Etobicoke North
440864,-79.2455978589,43.7724648362,Scarborough,Scarborough-Guildwood
254372,-79.4156251283,43.7334215735,former Toronto,Eglinton-Lawrence
344969,-79.3000174115,43.6787646116,former Toronto,Beaches-East York
42956,-79.493315827,43.617188133,Etobicoke,Etobicoke-Lakeshore
345406,-79.2957598114,43.6693185555,former Toronto,Beaches-East York
209638,-79.5506384693,43.7248160005,Etobicoke,Etobicoke North
333796,-79.3220724366,43.6873938863,former Toronto,Beaches-East York
397683,-79.2706994327,43.725266854,Scarborough,Scarborough Southwest
498419,-79.2305862548,43.823717544,Scarborough,Scarborough-Rouge Park
274776,-79.3929477435,43.7669535488,North York,Willowdale
387363,-79.3767119517,43.7732561838,North York,Don Valley North
367028,-79.2666112874,43.6907230767,Scarborough,Scarborough Southwest
100405,-79.459679997,43.6830590875,York,Davenport
375606,-79.3556271826,43.7270962558,North York,Don Valley West
322759,-79.3709531888,43.7099693995,East York,Don Valley West
38611,-79.5045153028,43.5965294894,Etobicoke,Etobicoke-Lakeshore
271614,-79.4008296753,43.767446022,North York,Willowdale
263642,-79.4399553725,43.7726071836,North York,Willowdale
231712,-79.465041818,43.7317978017,North York,York Centre
429973,-79.289498573,43.7939352282,Scarborough,Scarborough-Agincourt
370110,-79.3239913326,43.7661928275,North York,Don Valley East
256455,-79.3833923155,43.7266785405,North York,Don Valley West
11693,-79.5784646499,43.6436136202,Etobicoke,Etobicoke Centre
291757,-79.3509487835,43.6609474941,former Toronto,Toronto-Danforth
272868,-79.4111551137,43.7756494264,North York,Willowdale
207415,-79.5652180346,43.7411216166,Etobicoke,Etobicoke North
99512,-79.4606780988,43.6867493188,York,Davenport
512015,-79.474859617,43.682387543,York,York South-Weston
426098,-79.3038707528,43.768442103,Scarborough,Scarborough Centre
237405,-79.4609118794,43.7666623969,North York,York Centre
210066,-79.561155519,43.7211886929,Etobicoke,Etobicoke North
231949,-79.4528740132,43.7484052447,North York,York Centre
14753,-79.573607765,43.6786883608,Etobicoke,Etobicoke North
422402,-79.261064537,43.7598223009,Scarborough,Scarborough Centre
499682,-79.2228464887,43.8228780512,Scarborough,Scarborough-Rouge Park
73288,-79.4757397628,43.6596130666,former Toronto,Parkdale-High Park
409505,-79.253470105,43.7123265594,Scarborough,Scarborough Southwest
396934,-79.367794188,43.7967356002,North York,Don Valley North
212962,-79.5396849075,43.7385025309,North York,Humber River-Black Creek
389327,-79.3548378864,43.7729443304,North York,Don Valley North
269268,-79.427570296,43.7869768057,North York,Willowdale
222686,-79.5226584524,43.7439378193,North York,Humber River-Black Creek
59390,-79.5232213912,43.6687097675,Etobicoke,Etobicoke Centre
525306,-79.40315602,43.763451155,North York,Willowdale
17748,-79.5457778342,43.6477496346,Etobicoke,Etobicoke Centre
475133,-79.2001392815,43.760781096,Scarborough,Scarborough-Guildwood
354851,-79.3060973141,43.685695755,former Toronto,Beaches-East York
446056,-79.2564869482,43.786867932,Scarborough,Scarborough North
433490,-79.266219701,43.7604894656,Scarborough,Scarborough Centre
292463,-79.3513934694,43.6650573725,former Toronto,Toronto-Danforth
77091,-79.4659399413,43.6598249037,former Toronto,Parkdale-High Park
141192,-79.4089425594,43.6501844825,former Toronto,Spadina-Fort York
154229,-79.3996431827,43.6765338648,former Toronto,University-Rosedale
403853,-79.2952303292,43.7416764866,Scarborough,Scarborough Centre
112566,-79.4393355535,43.6534020617,former Toronto,Davenport
66596,-79.4845160317,43.6544618048,former Toronto,Parkdale-High Park
205078,-79.5682462201,43.7380250925,Etobicoke,Etobicoke North
172934,-79.4431255205,43.7089550973,North York,Eglinton-Lawrence
85767,-79.5202438294,43.6973663624,Etobicoke,Etobicoke Centre
378723,-79.3631217504,43.7517650354,North York,Don Valley West
217307,-79.5470339721,43.7670932602,North York,Humber River-Black Creek
288134,-79.3721530688,43.6603373077,former Toronto,Toronto Centre
329096,-79.3332254401,43.6854810823,East York,Toronto-Danforth
306269,-79.3197400575,43.6664591665,former Toronto,Toronto-Danforth
494786,-79.455830237,43.789896301,North York,York Centre
481016,-79.2252666605,43.7956086777,Scarborough,Scarborough North
236052,-79.4726531717,43.7763818873,North York,York Centre
312372,-79.372616815,43.6826074705,former Toronto,University-Rosedale
208424,-79.576275299,43.754501757,North York,Humber River-Black Creek
146759,-79.3921467543,43.648595117,former Toronto,Spadina-Fort York
522002,-79.590570586,43.719607454,Etobicoke,Etobicoke North
432098,-79.272591609,43.7824630265,Scarborough,Scarborough North
357982,-79.2862716301,43.7057954597,Scarborough,Scarborough Southwest
349419,-79.3031441995,43.6835242618,former Toronto,Beaches-East York
499189,-79.229222541,43.825091146,Scarborough,Scarborough-Rouge Park
431504,-79.2812327692,43.7982319893,Scarborough,Scarborough North
178078,-79.4285600665,43.7193455477,North York,Eglinton-Lawrence
487332,-79.1740021257,43.7840340109,Scarborough,Scarborough-Rouge Park
171816,-79.4162230632,43.6980324336,former Toronto,Toronto-St. Paul's
499468,-79.2260824185,43.8296492501,Scarborough,Scarborough North
170828,-79.4209907804,43.695456938,former Toronto,Toronto-St. Paul's
70961,-79.4593117768,43.6546283349,former Toronto,Parkdale-High Park
499198,-79.2241412147,43.8215903524,Scarborough,Scarborough-Rouge Park
277412,-79.397897232,43.784187957,North York,Willowdale
99900,-79.4624435264,43.6852662738,York,York South-Weston
204348,-79.5746516306,43.7397269911,Etobicoke,Etobicoke North
171334,-79.4194513857,43.6993830822,former Toronto,Toronto-St. Paul's
253349,-79.4092269861,43.7321256244,former Toronto,Eglinton-Lawrence
143689,-79.4063710667,43.6492524144,former Toronto,Spadina-Fort York
494758,-79.493488688,43.682716464,York,York South-Weston
107670,-79.4497435325,43.6445252027,former Toronto,Parkdale-High Park
270595,-79.4155251399,43.7624594908,North York,Willowdale
495887,-79.2120780389,43.808096785,Scarborough,Scarborough-Rouge Park
8758,-79.5484326922,43.6364188244,Etobicoke,Etobicoke-Lakeshore
240334,-79.4372931994,43.7307766314,North York,Eglinton-Lawrence
301121,-79.3301637504,43.6673066561,former Toronto,Toronto-Danforth
227752,-79.5045186177,43.7533123289,North York,Humber River-Black Creek
68655,-79.4750787008,43.6516819212,former Toronto,Parkdale-High Park
236819,-79.4955194024,43.7663572029,North York,Humber River-Black Creek
107063,-79.4578259583,43.7126166358,North York,Eglinton-Lawrence
386145,-79.3789065331,43.763574437,North York,Don Valley West
405220,-79.2927941503,43.7449800274,Scarborough,Scarborough Centre
407327,-79.3504404543,43.8004921511,North York,Don Valley North
117262,-79.418917617,43.645291483,former Toronto,Spadina-Fort York
478871,-79.1521029909,43.774379188,Scarborough,Scarborough-Rouge Park
246180,-79.4519719923,43.7481413503,North York,York Centre
27224,-79.5528158341,43.6855785112,Etobicoke,Etobicoke Centre
122714,-79.4443557679,43.6620587189,former Toronto,Davenport
457963,-79.2612004983,43.8096786161,Scarborough,Scarborough North
437071,-79.3162231507,43.8156516343,Scarborough,Scarborough-Agincourt
473288,-79.2204722227,43.776303426,Scarborough,Scarborough-Guildwood
198986,-79.5989355786,43.7312840074,Etobicoke,Etobicoke North
67402,-79.4816715804,43.6545370331,former Toronto,Parkdale-High Park
485838,-79.1671005431,43.7676099046,Scarborough,Scarborough-Rouge Park
274144,-79.3933885139,43.7668827568,North York,Willowdale
129938,-79.4355612895,43.6763462735,former Toronto,Davenport
399484,-79.3196046771,43.7881366434,Scarborough,Scarborough-Agincourt
49963,-79.495868332,43.631883934,Etobicoke,Etobicoke-Lakeshore
182271,-79.4051728298,43.6986978338,former Toronto,Toronto-St. Paul's
78326,-79.4658922718,43.6648362085,former Toronto,Parkdale-High Park
223625,-79.5200608875,43.7414650722,North York,Humber River-Black Creek
74475,-79.4741674457,43.6639052411,former Toronto,Parkdale-High Park
507700,-79.473645451,43.77731858,North York,York Centre
88531,-79.4992274403,43.6970354235,North York,York South-Weston
188339,-79.4074687594,43.7099697025,former Toronto,Eglinton-Lawrence
310780,-79.3117562019,43.6770674137,former Toronto,Beaches-East York
288409,-79.3679202144,43.6632458222,former Toronto,Toronto Centre
261342,-79.3875818918,43.7547629093,North York,Don Valley West
316055,-79.3459950928,43.6860136563,East York,Toronto-Danforth
265570,-79.4164759904,43.7622483084,North York,Willowdale
235933,-79.4776888626,43.7652325683,North York,York Centre
34361,-79.5600175088,43.7041542608,Etobicoke,Etobicoke North
326789,-79.3381276059,43.6817183674,former Toronto,Toronto-Danforth
143606,-79.399277655,43.6516639428,former Toronto,Spadina-Fort York
253413,-79.4137842556,43.731799175,former Toronto,Eglinton-Lawrence
390662,-79.369185039,43.788592217,North York,Don Valley North
268984,-79.4264231766,43.7896127357,North York,Willowdale
176184,-79.4212804394,43.6996938096,former Toronto,Toronto-St. Paul's
468994,-79.1819752515,43.7521517646,Scarborough,Scarborough-Guildwood
276399,-79.387190693,43.771600723,North York,Don Valley North
343269,-79.3061321791,43.6702913198,former Toronto,Beaches-East York
442768,-79.3153195362,43.8203958441,Scarborough,Scarborough-Agincourt
441570,-79.2764983134,43.803655029,Scarborough,Scarborough North
