,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
15940,Boston,42.33345,-71.094955,20.847961,0,POINT (-71.094955 42.33345),55060,Industrial
47592,Boston,42.38155,-71.07243299999998,14.483518,0,POINT (-71.07243299999998 42.38155),54825,Industrial
26839,Boston,42.350025,-71.038849,22.988913,0,POINT (-71.038849 42.350025),54434,Industrial
20557,Boston,42.340923,-71.057236,19.295805,0,POINT (-71.057236 42.340923),55419,Industrial
27092,Boston,42.350349,-71.04729499999998,23.51977,0,POINT (-71.04729499999998 42.350349),55424,Industrial
3337,Boston,42.299324,-71.05573299999998,22.155144,0,POINT (-71.05573299999998 42.299324),55699,Industrial
22382,Boston,42.343849,-71.022903,23.630112,0,POINT (-71.022903 42.343849),54434,Industrial
21122,Boston,42.3419,-71.048416,14.426543,0,POINT (-71.048416 42.3419),54201,Industrial
124413,Boston,42.30305900000001,-71.108551,17.317118,0,POINT (-71.10855100000001 42.30305900000001),55787,Industrial
100797,Boston,42.262737,-71.122826,18.559752,0,POINT (-71.122826 42.262737),54342,Industrial
24660,Boston,42.347099,-71.024773,20.924809,0,POINT (-71.024773 42.347099),54434,Industrial
49037,Boston,42.383499,-71.039413,21.001501,0,POINT (-71.039413 42.383499),55501,Industrial
7996,Boston,42.31525,-71.103584,23.295839,0,POINT (-71.103584 42.31525),55787,Industrial
25643,Boston,42.3484,-71.046539,21.827568,0,POINT (-71.046539 42.3484),54201,Industrial
10708,Boston,42.322399,-71.054047,18.829779,0,POINT (-71.054047 42.322399),55420,Industrial
22166,Boston,42.343525,-71.033592,22.577393,0,POINT (-71.033592 42.343525),55417,Industrial
80510,Boston,42.230888,-71.13069899999998,13.335575,0,POINT (-71.13069899999998 42.230888),54403,Industrial
10368,Boston,42.321423,-71.067368,20.245384,0,POINT (-71.067368 42.321423),55612,Industrial
82523,Boston,42.236088,-71.135582,17.160875,0,POINT (-71.135582 42.236088),54377,Industrial
46587,Boston,42.380249,-71.07356300000002,23.158539,0,POINT (-71.07356300000002 42.380249),54825,Industrial
23714,Boston,42.345798,-71.047668,17.722110999999995,0,POINT (-71.047668 42.345798),54201,Industrial
89111,Boston,42.247787,-71.132202,22.539783,0,POINT (-71.13220200000001 42.247787),54408,Industrial
30700,Boston,42.355873,-71.133797,20.11195,0,POINT (-71.133797 42.355873),55309,Industrial
48588,Boston,42.382851,-71.049545,18.427101,0,POINT (-71.04954499999999 42.382851),54857,Industrial
40963,Boston,42.372448,-71.06980899999998,19.945345,0,POINT (-71.06980899999998 42.372448),54818,Industrial
45607,Boston,42.378948,-71.071312,20.983931,0,POINT (-71.07131200000001 42.378948),54825,Industrial
50048,Boston,42.385124,-71.021957,19.045145,0,POINT (-71.021957 42.385124),55434,Industrial
124540,Boston,42.303398,-71.107979,21.263334,0,POINT (-71.107979 42.303398),55787,Industrial
25973,Boston,42.348724,-71.10414899999998,17.114744,0,POINT (-71.10414899999998 42.348724),55227,Industrial
24159,Boston,42.346451,-71.025902,16.604042,0,POINT (-71.025902 42.346451),55417,Industrial
27814,Boston,42.351322,-71.048233,21.156229,0,POINT (-71.048233 42.351322),55424,Industrial
11545,Boston,42.324673,-71.071495,21.722521,0,POINT (-71.071495 42.324673),54519,Industrial
47055,Boston,42.380898,-71.050667,20.261982,0,POINT (-71.050667 42.380898),54857,Industrial
14174,Boston,42.330524,-71.074875,21.014839,0,POINT (-71.07487500000001 42.330524),54519,Industrial
106371,Boston,42.270538,-71.121696,18.989647,0,POINT (-71.121696 42.270538),54337,Industrial
84740,Boston,42.240963,-71.130516,13.922643,0,POINT (-71.130516 42.240963),54402,Industrial
47335,Boston,42.381226,-71.074875,21.046144,0,POINT (-71.07487500000001 42.381226),54825,Industrial
12339,Boston,42.326626,-71.072624,24.162325,0,POINT (-71.072624 42.326626),54519,Industrial
40490,Boston,42.371799,-71.04316700000003,18.951614000000006,0,POINT (-71.04316700000003 42.371799),55470,Industrial
13286,Boston,42.328899,-71.05967700000002,19.650696,0,POINT (-71.05967700000002 42.328899),55419,Industrial
16915,Boston,42.335075,-71.06399499999998,22.778383,0,POINT (-71.06399499999998 42.335075),55419,Industrial
22870,Boston,42.344498,-71.060806,17.690148999999995,0,POINT (-71.060806 42.344498),55422,Industrial
21728,Boston,42.342873,-71.042603,14.097669,0,POINT (-71.042603 42.342873),54195,Industrial
27330,Boston,42.350674,-71.04898100000003,21.839058,0,POINT (-71.04898100000003 42.350674),55424,Industrial
124667,Boston,42.303699,-71.110809,20.513956,0,POINT (-71.110809 42.303699),55787,Industrial
49031,Boston,42.383499,-71.022522,14.689069,0,POINT (-71.022522 42.383499),55434,Industrial
19571,Boston,42.339298,-71.042038,23.557381,0,POINT (-71.04203800000001 42.339298),54195,Industrial
24171,Boston,42.346451,-71.03265400000002,13.667939000000002,0,POINT (-71.03265400000002 42.346451),55417,Industrial
13624,Boston,42.329548,-71.074692,20.33222,0,POINT (-71.074692 42.329548),54519,Industrial
