,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC,index_outof_20000
8015,Boston,42.272163,-71.078728,21.188326,0,POINT (-71.078728 42.272163),54657,Residential,8015
7661,Boston,42.267612,-71.10762,23.279379000000002,0,POINT (-71.10762 42.267612),54331,Residential,7661
18773,Boston,42.333775,-71.10414899999998,26.720375,1,POINT (-71.10414899999998 42.333775),55021,Business,18773
11801,Boston,42.278110999999996,-71.04815699999997,16.293531,0,POINT (-71.04815699999997 42.278111),54216,Open Space,11801
17724,Boston,42.374396999999995,-71.029655,16.221146,0,POINT (-71.02965500000001 42.374397),55435,Miscellaneous,17724
3184,Boston,42.279635999999996,-71.156593,27.331770000000002,1,POINT (-71.156593 42.279636),54445,Residential,3184
5347,Boston,42.342548,-71.079941,22.274604999999998,0,POINT (-71.07994100000001 42.342548),54896,Residential,5347
15483,Boston,42.348076,-71.035851,18.897635,0,POINT (-71.03585099999999 42.348076),54434,Industrial,15483
10602,Boston,42.344173,-71.071877,29.663406,1,POINT (-71.071877 42.344173),54943,Open Space,10602
1517,Boston,42.322075,-71.077499,27.079310999999997,1,POINT (-71.077499 42.322075),55525,Residential,1517
8409,Boston,42.331173,-71.042603,20.38327,0,POINT (-71.042603 42.331173),54595,Residential,8409
19794,Boston,42.32695,-71.097206,22.045473,0,POINT (-71.097206 42.32695),54751,Comm/Instit,19794
17117,Boston,42.342224,-71.068497,26.379573999999998,1,POINT (-71.06849699999999 42.342224),54894,Mixed Use,17117
13409,Boston,42.300625,-71.052361,22.64591,0,POINT (-71.052361 42.300625),55696,Open Space,13409
16932,Boston,42.348076,-71.073753,28.269918,1,POINT (-71.073753 42.348076),54776,Mixed Use,16932
9131,Boston,42.336048,-71.083321,12.677721,0,POINT (-71.083321 42.336048),54514,Residential,9131
7081,Boston,42.261112,-71.12113199999997,22.660557,0,POINT (-71.12113199999997 42.261112),54331,Residential,7081
17049,Boston,42.297512,-71.171799,27.702454,1,POINT (-71.17179899999999 42.297512),54443,Miscellaneous,17049
17415,Boston,42.289387,-71.101433,26.926281,1,POINT (-71.101433 42.289387),54646,Miscellaneous,17415
13311,Boston,42.322399,-71.09683199999998,21.427576000000002,0,POINT (-71.09683199999998 42.322399),54747,Open Space,13311
12689,Boston,42.362049,-71.146744,19.040976999999998,0,POINT (-71.146744 42.362049),55391,Open Space,12689
12513,Boston,42.359776000000004,-71.05948599999998,24.684494,0,POINT (-71.05948599999998 42.359776),55086,Open Space,12513
